| Model                                                             | Status   |
| TheBloke/Spicyboros-70B-2.2-GPTQ                                  | ❌ FAIL   |
| TheBloke/ORCA_LLaMA_70B_QLoRA-GPTQ                                | ❌ FAIL   |
| TheBloke/Spicyboros-7B-2.2-GPTQ                                   | ❌ FAIL   |
| TheBloke/Synthia-70B-v1.2-GPTQ                                    | ❌ FAIL   |
| TheBloke/Upstage-Llama-2-70B-instruct-v2-GGUF                     | ❌ FAIL   |
| TheBloke/Chronos-70B-v2-GPTQ                                      | ❌ FAIL   |
| TheBloke/Mythalion-13B-GGUF                                       | ❌ FAIL   |
| TheBloke/Mythalion-13B-GPTQ                                       | ❌ FAIL   |
| TheBloke/Pygmalion-2-13B-GGUF                                     | ❌ FAIL   |
| TheBloke/WizardLM-1.0-Uncensored-CodeLlama-34B-GPTQ               | ❌ FAIL   |
| TheBloke/OpenBuddy-Llama2-70b-v10.1-GPTQ                          | ❌ FAIL   |
| TheBloke/ReMM-SLERP-L2-13B-GPTQ                                   | ❌ FAIL   |
| TheBloke/Llama-2-13B-GGUF                                         | ❌ FAIL   |
| TheBloke/Llama-2-70B-chat-GGUF                                    | ❌ FAIL   |
| TheBloke/Llama-2-13B-chat-GGUF                                    | ❌ FAIL   |
| TheBloke/Llama-2-7B-GGUF                                          | ❌ FAIL   |
| TheBloke/Llama-2-7b-Chat-GGUF                                     | ❌ FAIL   |
| TheBloke/OpenBuddy-Llama2-13B-v11.1-GPTQ                          | ❌ FAIL   |
| TheBloke/Speechless-Llama2-Hermes-Orca-Platypus-WizardLM-13B-GPTQ | ❌ FAIL   |
| TheBloke/Stheno-L2-13B-GPTQ                                       | ❌ FAIL   |
| TheBloke/Yarn-Llama-2-7B-128K-GPTQ                                | ❌ FAIL   |
| TheBloke/Yarn-Llama-2-13B-64K-GPTQ                                | ❌ FAIL   |
| TheBloke/Yarn-Llama-2-13B-128K-GPTQ                               | ❌ FAIL   |
| TheBloke/Yarn-Llama-2-7B-64K-GPTQ                                 | ❌ FAIL   |
| TheBloke/LoKuS-13B-GPTQ                                           | ❌ FAIL   |
| TheBloke/llama-2-13B-chat-limarp-v2-merged-GPTQ                   | ❌ FAIL   |
| TheBloke/Airoboros-L2-70B-2.1-Creative-GPTQ                       | ❌ FAIL   |
| TheBloke/MythoMax-L2-Kimiko-v2-13B-GPTQ                           | ❌ FAIL   |
| TheBloke/fiction.live-Kimiko-V2-70B-GPTQ                          | ❌ FAIL   |
| TheBloke/Kimiko-v2-13B-GPTQ                                       | ❌ FAIL   |
| TheBloke/Luban-13B-GPTQ                                           | ❌ FAIL   |
| TheBloke/Athena-v1-GPTQ                                           | ❌ FAIL   |
| TheBloke/model_007-70B-GPTQ                                       | ❌ FAIL   |
| TheBloke/Lemur-70B-Chat-v1-GPTQ                                   | ❌ FAIL   |
| TheBloke/Samantha-1.11-13B-GPTQ                                   | ❌ FAIL   |
| TheBloke/Phind-CodeLlama-34B-v2-GPTQ                              | ❌ FAIL   |
| TheBloke/Airoboros-L2-70B-2.1-GPTQ                                | ❌ FAIL   |
| TheBloke/Airoboros-c34B-2.1-GPTQ                                  | ❌ FAIL   |
| TheBloke/Llama-2-70B-Orca-200k-GPTQ                               | ❌ FAIL   |
| TheBloke/Genz-70b-GPTQ                                            | ❌ FAIL   |
| TheBloke/Phind-CodeLlama-34B-Python-v1-GPTQ                       | ❌ FAIL   |
| TheBloke/Zarafusionex-1.1-L2-7B-GPTQ                              | ❌ FAIL   |
| TheBloke/Llama2-70B-OASST-SFT-v10-GPTQ                            | ❌ FAIL   |
| TheBloke/Samantha-1.11-CodeLlama-34B-GPTQ                         | ❌ FAIL   |
| TheBloke/CodeLlama-34B-GPTQ                                       | ❌ FAIL   |
| TheBloke/CodeLlama-34B-Instruct-GPTQ                              | ❌ FAIL   |
| TheBloke/CodeLlama-34B-Python-GPTQ                                | ❌ FAIL   |
| TheBloke/CodeLlama-13B-Python-GPTQ                                | ❌ FAIL   |
| TheBloke/CodeLlama-7B-GPTQ                                        | ❌ FAIL   |
| TheBloke/CodeLlama-34B-Instruct-GGUF                              | ❌ FAIL   |
